gen,generator_name,n,cap
358,GN_1312,5353,
359,GN_1326,6139,
360,GN_1328,7085,
361,GN_1331,5454,
362,GN_1335,380,
363,GN_1337,8918,
364,GN_1338,8919,
365,GN_1339,8851,
366,GN_1349,5562,154.2992
367,GN_1350,5564,167.5
368,GN_1364,1713,69.0
369,GN_1371,1730,108.698795164
370,GN_1377,8894,
371,GN_1378,5890,
372,GN_1383,5384,155.0
373,GN_1387,5022,
374,GN_1388,5023,
375,GN_1391,295,48.3
376,GN_1395,299,51.0
377,GN_1397,301,48.5
378,GN_1398,302,51.0
379,GN_1399,7744,
380,GN_1403,451,
381,GN_1406,9086,
382,GN_1408,444,
383,GN_1411,6145,
384,GN_1414,4547,
385,GN_1424,9555,
386,GN_1441,7068,
387,GN_1442,7067,
388,GN_1443,6921,
389,GN_1445,7798,
390,GN_1452,670,108.2706768
391,GN_1459,519,
392,GN_1471,25,159.0
393,GN_1472,32,258.0
394,GN_1477,23,607.0
395,GN_1479,1296,
396,GN_1480,3086,247.74333308559
397,GN_1481,3082,247.74333308559
398,GN_1492,7836,
399,GN_1494,4625,459.876032506
400,GN_1497,3781,364.24756650282
401,GN_1499,3779,279.06728828
402,GN_1501,8908,
403,GN_1502,8908,
404,GN_1504,8909,
405,GN_1505,9243,
406,GN_1508,5032,
407,GN_1514,2424,45.0
408,GN_1517,2421,45.0
409,GN_1522,9604,
410,GN_1524,5171,
411,GN_1526,8140,
412,GN_1537,4883,
413,GN_1545,6774,
